created_at,name,username,description,id,location,followers_count,following_count,listed_count,tweet_count
2021-11-09T17:34:31.000Z,Kim Jisoo,AnnyeongImJisoo,Jisoo Enthusiast 💗🐢🐰👸,1458125799479930884,,14,71,0,5059
2019-07-31T14:05:03.000Z,Snowfluers,SnowFlo22843040,𝐁𝐋𝐀𝐂𝐊𝐏𝐈𝐍𝐊 𝐨𝐭𝟒,1156566444768993280,,87,87,0,4694
2021-01-09T07:14:47.000Z,OA KERTAS ᚥ,papercxty,(+62) an open agency fix dn semi poin system || @paperparke 💚 @paperxcard 💓 || Open regist every monday and thursday at 9 AM - 11.59 PM,1347803938653835264,🧖‍♀ (25/25)️ - 🧖‍♂️ (25/25),81,58,3,10475
2022-01-22T08:24:50.000Z,raeii,zaraeificts,༶ writing is a peculiar organism capable of transforming caffeine to books,1484804132686860289,s!her | 17 ,3,26,0,6
2021-04-09T14:21:14.000Z,みあ@低浮上,dV5DPyVdG16ukHm,"18↑エヴァとハイキューにどハマりしたヲタク

左右固定なし 53/兎赤",1380526154294026243,,22,296,1,807
2021-05-20T17:08:08.000Z,it’sagirl,ttreasureeeee,🐷🐼🐯🐨🐹🦁🤖🦊🐰🦙🐺🐮,1395425643307827200,,8,101,0,57732
2014-06-26T11:30:58.000Z,JustKpopFans,Just_Kpop_Fans,Follow on Facebook: https://t.co/gmbnRFWiio,2589403344,Amurika!,558,4833,8,140675
2016-11-21T08:19:24.000Z,Swahili Republic,SwahiliRepublic,This is Swahili Republic you love. The Fashionable Classic should be loved and very best quality. #itsswahili,800614577893351428,"Dar es Salaam, Tanzania",16,31,0,37
2016-06-14T12:23:54.000Z,❄️Jisoolove❄️⁴ᶦᶸ,Jslpb99,"Multi Stan gg and solo (ult jisoo 💙) 
                                   (UG/US = #BLACKPINK #IU #EVERGLOW #AESPA)
@LMIUTNY💜👑",742694048939560960,he/him ,1321,1240,8,21652
2021-11-26T14:38:02.000Z,Viken,asyeuxchoitxt,hey,1464242007392534547,,12,55,0,70
2020-11-17T02:02:47.000Z,Sole; 🇵🇪❄️,solvsbp,"— I want my room full of blue flowers
ㅤㅤ",1328518850095308800,,1231,1072,1,5216
2022-01-15T13:22:45.000Z,Mandu_Manofoot,Mandu17590520,"Jenlisa🌼💛🌻🖤
Chaesoo💞
Blink💕",1482342405479100424,,1,34,0,31
2021-12-08T14:29:14.000Z,millionaire quates,Quatesmotivate,I AM  HERE TO SHARE MOTIVATIONAL QUATES,1468588381722783746,"Texas, USA",6,85,0,50
2022-01-01T21:34:11.000Z,koreanpopmedia,itskpopmedia,Your latest news about your favorite K-POP groups!💖,1477392690367057923,"Seoul, Republic of Korea",1,39,0,42
2022-01-15T16:46:35.000Z,BULHANO LOVELY,bulhano_lovely,"SB19 GO UP ERA
   JOSH🍢
  JUSTIN🌽
  KEN🐔
  STELL🍓
  PABLO🌭
  *****BL*****
OHMNANON
KRISTSINGTO
EARTHMIXX
OFFGUN
MEWGULF
TAYNEW
BRIGHTWIN
TAPTOP/MIKE",1482393236069294084,,3,159,0,11
2020-10-02T23:24:58.000Z,❖ soph. 🦋 simp for lunatic,sophiaswheein,• blackpink • ateez • mamamoo • purple kiss • hyuna • respect all groups • she/her • tiktok: wheeiniesouls •,1312171678525517824,19y,766,790,11,15421
2017-10-19T08:57:59.000Z,てぬぐい,never__mnd,自家発電,920937058067034112,my dearest,1,22,0,759
2021-02-02T10:25:31.000Z,BPSTAGRAM,bpstagram_,Your First and #1 Source of BlackPink's IG Updates 🖤💗 +hank and L Family | Translations,1356549239480872960,Fan account 📸 ,47,4,1,2338
2021-11-06T14:01:44.000Z,Linhlinhlinh,_lilililalala,Lilies,1456985111996473347,,220,200,0,451
2021-09-20T11:15:28.000Z,Hi_ViiViiz,Hi_ViieViie,☁️,1439910985280589826,"Kiên Giang, Việt Nam",0,7,0,17
2017-09-01T03:00:56.000Z,Pantip Korea,pantip_korea,"Pantip Official Account
✪ Website ☛ https://t.co/4YmwUN1XUU ✪ Facebook ☛ https://t.co/rIlL70B9Jd",903452586195353600,,6673,5,0,8487
2022-01-08T12:58:55.000Z,cii~,jnrbyjnh,🇨🇳🇮🇩,1479799723535921154,,9,25,0,8
2019-08-12T15:16:31.000Z,Snowdrop_disney+,jisoo_kdrama,,1160933087125090312,,72,111,0,16147
2022-01-18T03:06:08.000Z,Blink ✧*。,itsyourBlink,#BLACKPINK: fan page 🖤💗,1483273925484158978,,1,22,0,36
2018-07-01T03:37:05.000Z,Michaella_shark ᜋ̄ᜃᜁᜎ_ᜐ᜔ᜑᜇ̢̟ᜃ᜔,MichaellaShark,"Hello, hope u have a great day!!!! 😁😁😁(she/her) 🇵🇭/🇺🇸",1013265204304543744,,25,169,0,3032
2009-04-18T06:02:17.000Z,fernando,totoyzinho,,32809915,New Jersey,12,72,0,146
2021-05-06T22:05:19.000Z,Blinku,blinkubp,"ⸯⸯ #𝐁𝐋𝐀𝐂𝐊𝐏𝐈𝐍𝐊 : 𝗈𝗍𝟦 𝗋𝗈𝗌𝖾 𝗅𝗂𝗌𝖺 𝗃𝖾𝗇𝗇𝗂𝖾 𝗃𝗂𝗌𝗈𝗈, 𝒕𝒉𝒆 𝒃𝒊𝒈𝒈𝒆𝒔𝒕.
★. i blink for blackpink and blackpink only!! ꕤ ⊹  ⁺",1390427452258848776,,110,266,0,1384
2021-10-14T07:30:58.000Z,D🧚,loey4lyfers,"#찬열: yo, nice skirt",1448551727699955715,ex9/aesp4,662,460,0,1106
2020-07-05T10:10:28.000Z,Cole,ColeBLINK,✨🖤💗🖤💗✨BLINK since 2020. I really love each member! Check out my BLACKPINK reactions/merch-unboxings on YouTube (🔗link below),1279719234533093376,United States,8688,2931,5,7279
2020-05-15T05:11:06.000Z,Ben Oliveira,BenOlivDreamer,"✏️  Manic Pixie Dream Boy, escritor, jornalista, gay. Conheça meus livros Escrita Maldita e Os Bruxos de São Cipriano ☯️",1261162089864818689,"Campo Grande, Brasil",681,3948,1,34563
2020-05-17T18:14:18.000Z,leena♡ ! 🧷,honeeeybunnyy,she/her INFJ 🌱🐾🌈📚 MULTIFANFOM #BlackLivesMatter #StopAsianHate,1262083580240498689,,1111,5002,0,4790
2022-01-16T16:26:05.000Z,Akira,akira_army_,"💜 BTS AND BLACKPINK 4LIFE 💜
JAMAICAN 🇯🇲
SCORPIO ♏
🇰🇷 KOREAN LOVER 🇰🇷
 I AM GOING TO LIVE IN KOREA WHEN I AM OLDER 😊
MY INSTAGRAM - akira_army_22",1482750924196126722,Jamaica,3,18,0,24
2022-01-16T00:53:11.000Z,.,x1aoth1ngs,Go follow my tik tok and ig: x1aoth1ngs,1482516198143189004,,0,5,0,10
2020-11-09T01:21:45.000Z,J,blinkujj,for #블랙핑크 🖤💗 and #엔하이픈,1325609442277253120,"Medellín, Colombia",455,1690,0,13060
2021-11-04T17:31:43.000Z,Chocho💕,Chocho99947547,"Army and blink forever 💜❤️
We only live once, just let us be crazy for once😁😉
Let's be friends 🤗
@bts_twt    @blackpink",1456311997801377805,Morocco 🇲🇦,255,266,0,150
2021-05-14T03:01:36.000Z,샤리치,YrichV,"OT9TWICE
(insert jeongyeon on background profile)",1393038654440763396,,2,19,0,16
2019-03-23T09:13:38.000Z,FAN,WesupportALE1,RESPECT OUR PLAYERS AND WE WILL RESPECT YOURS💙💙,1109382685770735616,,8,72,0,183
2021-11-12T21:09:57.000Z,Matt__,Matt_Mashupper,"Making mashups all day. 🎶
Pop music/kpop music & amazing music videos. 🔥",1459266855076610053,,4,64,0,149
2021-07-31T19:12:57.000Z,AestheticQueen✨,shaidmirani12,"Hi guys my name is lia
I am a BTS army and blackpink blink!
my bias from BTS is V and my bias
from blackpink is lisa.",1421549410928918529,,7,128,0,117
2021-12-22T08:02:59.000Z,WannieHope,ArmyLuv57,#JENNIE : I breathe and bi!ches get triggered,1473564652676149250,ArmyLuvLand (18) She/her,10,36,0,257
2021-11-29T11:06:31.000Z,HueLinh,Huelinh1995,Only Lisa,1465275933061836803,,67,177,0,743
2020-08-14T07:05:59.000Z,LISA :),louis27030807,,1294168195239051264,,469,828,0,29010
2020-11-19T17:01:41.000Z,Nontonkoreasini,mbahkorea1,Nonton drama korea di 👇,1329469868349898752,,8,242,0,1507
2013-09-14T02:46:20.000Z,Ally 🥀 -31 🇲🇽,stayxblckpink,,1862408274,,4351,3586,16,114741
2021-09-01T12:09:09.000Z,:) LALISA0327🔥💜 #JenLisa,s61639742,"#blinkswiftie🖤💓 and a lilie💛🐥

*Never forget #Lisa has the shortest promo of her from Sept.10-Sept.26",1433039031831457798,,38,127,0,3043
2021-10-23T05:03:41.000Z,🌖✨Melaniies ghét bơ thèm xoài ✨🌖,Melaniies4799,I’m OP4 bias LISA . follow me and i’ll follow back . ❄️❄️snowdrop đang đến❄️❄️,1451776262649749506,,432,470,1,1965
2015-07-26T03:34:02.000Z,daniel,jdxmartinez,former child,3294254312,my house,24,113,0,151
2018-03-20T14:05:02.000Z,𝐣𝐞𝐧𝐧𝐢𝐞𝐬𝐚𝐦𝐚,SungaJeanine,#𝐦𝐮𝐥𝐭𝐢𝐬𝐭𝐚𝐧 ♡*.+ : 𝙨𝙝𝙚/𝙝𝙚𝙧 → 𝗰𝘂𝗿𝗿𝗲𝗻𝘁𝗹𝘆 𝗹𝗶𝘀𝘁𝗲𝗻𝗶𝗻𝗴: 𝙥𝙞𝙧𝙖𝙩𝙚 𝙗𝙮 𝙚𝙫𝙚𝙧𝙜𝙡𝙤𝙬,976097282452893697,"California, USA",75,228,1,3337
2021-02-10T18:38:29.000Z,bpptow_,cryfor_lis4,"vivo por la plata
muero por lisa",1359572416012386307,haciéndole Stream a bp 😋,21,4,0,49
2021-11-28T09:00:34.000Z,cia⁷ ‹𝟹⁸,jjhttxhh,"bangtan and skz ::home. the armys I know and the bts y'all know are litteraly strong , we'll find a way ‹𝟹 24/7 thinking about 황현진. multistan",1464881735884279811,stay st.,1658,2804,2,4098
2019-06-11T12:15:18.000Z,Amanda⁷,svgaroki,kpoptwt + anitwt + corpsetwt + syktwt + mcutwt/marveltwt + starwarstwt,1138419433347719169,17 (she/her),290,707,4,33287
2022-01-15T16:46:23.000Z,jennifer,jennifer0453,,1482393683198726153,,1,30,0,1
2012-06-18T04:10:42.000Z,ea.,erixgo,,611370371,,68,1,1,33112
2011-12-29T04:18:59.000Z,.L.M.,pambluesky,,449459692,"Jakarta Capital Region, Indone",225,206,0,79408
2020-09-18T21:29:48.000Z,Twice Kpop Merch,TwiceKpopMerch1,Twice Kpop Merch with FREE Worldwide Shipping,1307069288243769346,,11,0,0,940
2020-08-24T01:39:11.000Z,Emily Maharani,mhrrr04,"⟭⟬⁷♡

insta : emily.mahrr",1297709907530010624,,11,28,0,21
2021-06-15T13:19:52.000Z,Mae austria,Maeaustria16,사랑해💜,1404790631000539142,,0,31,0,29
2011-02-11T19:29:22.000Z,Skercrow N Da Field,Skercrow,Content curated by a human not a creepy algorithm. Musician / Videographer / Engineer / Producer /,250768990,Long Island New York,2483,1732,23,871
2020-03-25T17:59:15.000Z,Elsie_ ❄️,XroseLavie_,a story that eye witnessed- 🖤💖  roseanne park,1242873504845856768,"Venice, LA",277,539,1,9349
2021-12-29T17:35:57.000Z,📁,bangpinkvcrops,not a shipp acc | don't repost,1476245458595024898,1 adm ele/dele,45,77,0,98
2022-01-18T19:13:24.000Z,Sophia ♡,BLACKPINKSYNC,"bp , Ive  mains",1483517748059983872,,38,68,0,27
2020-07-31T09:11:56.000Z,nya,LavaGirl006,An armyblink💥💳💥,1289126567872851968,In my world✌️🙄,20,19,0,410
2021-01-14T12:14:42.000Z,💜TaeKook_𝘞𝘰𝘳𝘭𝘥 𝘢𝘦𝘴𝘵𝘩𝘦𝘵𝘪𝘤⁷°ᶦᶰʸᵒᵘ🛐,Di00407778,"🐯|ᴋɪᴍ ᴛᴀᴇʜʏᴜɴɢ
🐰|ʲᵏ 𝑱𝒆𝒐𝒏 𝑱𝒖𝒏𝒈𝒌𝒐𝒐𝒌⛓
₩ᴇʟᴄᴏᴍᴇ| 
·͟͟͟͟͟͟͞͞͞͞͞͞➳❥ Aʀᴇ Yᴏᴜ Aʀᴍʏ?!
💜𝐁𝐓𝐒 
𝒟𝑜 𝓎𝑜𝓊 𝐿𝒾𝓀𝑒 𝐵𝓁𝒶𝒸𝓀𝓅𝒾𝓃𝓀?
 리사 JENLISA♡⸙͎",1349691307430711296,"Украина, Киев",144,44,1,3782
2021-04-10T02:24:14.000Z,"celine my shoes, walking on you",sunshinepockey,20 | lili💘,1380708131412402183,United States,21,25,0,1332
2021-12-13T05:15:15.000Z,Yuri Hoshino,YuriHoshino6,No.,1470260964431839240,,0,0,0,2
2022-01-17T08:15:24.000Z,Gomez World ✨,gomezworld2,"I'm one in a billion, baby, don't you agree? 🎶
Fan Page dedicated to Miss.Gomez ❤
Email: gomezworld1992@gmail.com",1482989721383243779,selenation,8,93,0,17
